source,line,family,evidence
apps/mobile/src/ui/components/AppearancePicker.tsx,16,Preference save failure; in-place recovery candidate,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AddAssetScreen.tsx,343,Saved asset with View action; retain cross-navigation handoff,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,167,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,192,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,194,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,200,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,215,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,285,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,383,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,396,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,422,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,430,Save Undo and mutation/refresh/photo results; preserve operation identity,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetHistoryDetailRouteScreen.tsx,124,Revert completion crosses navigation; revert failure stays in task,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetHistoryDetailRouteScreen.tsx,135,Revert completion crosses navigation; revert failure stays in task,call site inventoried; per-site native placement and callback acceptance pending
apps/mobile/src/ui/screens/AssetHistoryRouteScreen.tsx,76,History refresh failure; local list recovery candidate,call site inventoried; per-site native placement and callback acceptance pending
