test,phone,ipad
testControlledAddressEntry,passed,failed
testControlledTextEntryWithoutAccessory,failed,failed
testControlledTextEntryWithoutAssistance,passed,failed
testNativeDefaultAssistedTextEntryDiagnostic,passed,passed
testOrdinaryControlledTextEntry,failed,failed
testOrdinaryMultilineTextEntry,passed,passed
testOrdinarySingleLineTextEntry,passed,failed
testOrdinaryTextEntryWithoutAccessory,passed,passed
testOrdinaryTextEntryWithoutAssistance,passed,passed
testPacedControlledTextEntryDiagnostic,passed,passed
testPacedUncontrolledTextEntryDiagnostic,passed,passed
testSeededAddressWithoutKeyboardAccessory,passed,passed
testSystemAddressEntry,passed,passed
testUncontrolledAddressEntry,passed,passed
