test,disposition,reason,phone_351480,ipad_351480,phone_351567,ipad_351567
testNotificationInboxReadStateAndNavigationReturn,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testNotificationReadControlDeliveredTouchRegion,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testInvitationAcceptanceRetainsAccessAfterOpeningFailure,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testNoticeKeepsPushedNavigationReachable,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testNoticeKeepsSheetNavigationReachable,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testProviderCredentialNativeSaveRecovery,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testProviderPromptNativeSaveRecovery,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testProviderPromptNativeDiscard,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testSharingRecoveryKeepsHeaderAndCommandsReachable,required,Changed workflow or critical regression in frozen batch,passed,passed,failed,passed
testFooterAppearanceAndDisabledActions,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testFooterAppearanceAtAccessibilityTextSize,audit-follow-up,Enlarged text or automated accessibility audit; separate audit workstream,failed,passed,failed,passed
testMoveHereRejectedCommandRetainsSelectionAndRetryReturns,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testMoveHereRecoveryAtAccessibilityTextSize,audit-follow-up,Enlarged text or automated accessibility audit; separate audit workstream,failed,failed,failed,failed
testCommandHeightComparisonAtAccessibilityTextSize,audit-follow-up,Enlarged text or automated accessibility audit; separate audit workstream,failed,passed,failed,passed
testColdInventoryQueriesEnableDependentResource,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testInventorySwitcherHouseholdRetryAndClose,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testDirectFullSheetLayout,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testNestedFullSheetLayout,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,failed,passed,failed,passed
testFooterFullSheetLayout,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,failed,passed,failed,passed
testDirectFooterFullSheetLayout,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testScrollFooterFullSheetLayout,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testCheckoutHistoryTextBoundsPaginationAndDismissal,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testBrowseLastTagClearsActionFooterAndApplies,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testBrowseTagSearchKeepsActionsAboveKeyboardAccessory,required,Changed workflow or critical regression in frozen batch,not in run,not in run,failed,passed
testBrowseUsesInPlaceAvailabilityMenuAndReachableActions,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testExpirationSheetBodySurvivesExpansion,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testDetailCommandsRemainReachableAtAccessibilityTextSize,audit-follow-up,Enlarged text or automated accessibility audit; separate audit workstream,failed,passed,failed,passed
testPlaceContentsUseNativeSearchAndKeepNavigation,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testPreconfiguredPlaceSearchKeepsProductionHandlersAndNavigation,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,failed,passed,failed,passed
testManagedSearchPlacementAfterEnableAndHeaderUpdate,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testStaticNativeSearchPlacementComparison,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testAssetRegionRecoveryAtAccessibilityTextSize,audit-follow-up,Enlarged text or automated accessibility audit; separate audit workstream,failed,passed,failed,passed
testEditTagDisclosureAtAccessibilityTextSize,audit-follow-up,Enlarged text or automated accessibility audit; separate audit workstream,failed,failed,failed,failed
testEditMetadataRecoveryAtAccessibilityTextSize,audit-follow-up,Enlarged text or automated accessibility audit; separate audit workstream,failed,failed,failed,failed
testNativeChoiceLabelAtAccessibilityTextSize,audit-follow-up,Enlarged text or automated accessibility audit; separate audit workstream,passed,passed,passed,passed
testExpirationOverviewAccessibility,required,Mixed audit: normal hit regions/descriptions/traits required; larger-Dynamic-Type-only diagnostic is follow-up (see release batch decisions),failed,passed,failed,passed
testExpirationDatePageKeepsBottomActionsReachable,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testExpirationSearchKeepsActionsReachableWithKeyboard,required,Changed workflow or critical regression in frozen batch,passed,passed,failed,passed
testDraftOptionRemovalPreservesSavedOptions,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testUnavailablePhotoExplainsFailureAndKeepsEscapeReachable,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testPhotoRemovalFailureAppearsAboveViewer,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testOrdinarySingleLineTextEntry,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,failed,passed
testNativeDefaultAssistedTextEntryDiagnostic,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testOrdinaryMultilineTextEntry,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testOrdinaryControlledTextEntry,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,failed,failed,failed,failed
testControlledTextEntryWithoutAssistance,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testControlledTextEntryWithoutAccessory,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,failed,passed,passed,failed
testOrdinaryTextEntryWithoutAssistance,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testOrdinaryTextEntryWithoutAccessory,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testPacedControlledTextEntryDiagnostic,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,failed
testPacedUncontrolledTextEntryDiagnostic,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testSeededAddressWithoutKeyboardAccessory,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testControlledAddressEntry,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,failed,failed,failed,failed
